Classify,Audio,BI,CPU.C,Conne,N.Net,UAR3.,USB1.,NVSE.,GFXC.,AUDI.,SDM3.,SDM4.,PLM,PLM.P,I2C5.,Toast,WNS,WU,NinetyCount,FiftyCount,TwentyCount,TenCount
USB1,0,0,5,0,9,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,5,0,12,0,0,0,100,0,0,0,0,0,0,0,0,3,1,1,1,2
GFX,0,0,3,0,10,0,0,0,100,0,0,0,0,0,0,0,0,3,1,1,1,1
GFX,0,0,3,0,9,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,5,0,9,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,6,0,12,0,0,0,100,0,0,0,0,0,0,0,0,6,1,1,1,2
GFX,0,0,5,0,6,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,3,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,5,0,11,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,2
GFX,0,0,5,0,10,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,5,0,10,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,2,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
GFX,0,0,7,0,14,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,2
USB1,0,0,9,0,32,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
USB1,0,0,0,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Audio.Svc,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2
Audio.Svc,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2
Audio.Svc,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2
Audio.Svc,99,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,36,5,0,100,5,0,0,0,2,2,3,3
PLM.AUDIO.DEV,0,2,2,0,88,0,0,0,0,99,2,0,86,0,0,0,0,0,1,3,3,3
PLM.P,0,0,0,0,100,0,0,0,0,0,0,2,0,100,5,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,6,0,0,0,0,2,0,100,3,0,0,0,2,2,2,2
PLM.P.USB,0,0,0,0,100,0,73,0,0,0,0,2,0,100,3,0,0,0,2,3,3,3
PLM.P,0,0,0,0,100,0,0,0,0,0,0,2,0,100,3,0,0,0,2,2,2,2
PLM.P.USB,0,0,0,0,100,0,84,0,0,0,0,2,0,100,3,0,0,0,2,3,3,3
PLM.P,0,0,0,0,100,0,0,0,0,0,0,4,0,100,4,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,0,2,0,100,3,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,0,2,0,100,4,0,0,0,2,2,2,2
PLM.P,0,0,0,0,100,0,0,0,0,0,0,3,0,100,4,0,0,0,2,2,2,2
GFX,0,0,0,0,3,0,0,0,100,0,0,0,0,0,0,0,0,0,1,1,1,1
